Article;Mot français;Niveau;Catégorie;Catégorie 2;Mot japonais;
Une;couleur;A1;色;名詞;色;
-;beige;A1;色;形容詞;肌色;
-;noir;A1;色;形容詞;黒;
-;bleu;A1;色;形容詞;青;
-;marron;A1;色;形容詞;茶色;
-;vert;A1;色;形容詞;緑;
-;gris;A1;色;形容詞;灰色;
-;orange;A1;色;形容詞;オレンジ;
-;rose;A1;色;形容詞;ピンク;
-;mauve;A1;色;形容詞;葵;
-;rouge;A1;色;形容詞;赤;
-;violet;A1;色;形容詞;紫;
-;blanc;A1;色;形容詞;白;
-;jaune;A1;色;形容詞;黄色;
une;maison;A1.1;建物;名詞;家
une;école;A1.1;建物;名詞;学校
un;restaurant;A1.1;建物;名詞;レストラン
un;magasin;A1.1;建物;名詞;お店
une;boutique;A1.1;建物;名詞;お店
un;hôpital;A1.1;建物;名詞;病院
une;gare;A1.1;建物;名詞;駅
